"en","buttons/about","About",
"en","buttons/axes","X and Y",
"en","buttons/axesmc","X and Y",
"en","buttons/axis_x","X axis",
"en","buttons/axis_y","Y axis",
"en","buttons/color","Color",
"en","buttons/colors","Color",
"en","buttons/deselect","Deselect",
"en","buttons/expand","Expand",
"en","buttons/find","Find",
"en","buttons/label","Labels",
"en","buttons/lock","Lock",
"en","buttons/more_options","Options",
"en","buttons/ok","OK",
"en","buttons/opacity","Opacity",
"en","buttons/opacityNonselect","Opacity of non-selected",
"en","buttons/opacityRegular","Regular opacity",
"en","buttons/presentation","Present",
"en","buttons/show","Show",
"en","buttons/showall","Show all",
"en","buttons/size","Size",
"en","buttons/size_label","Size",
"en","buttons/speed","Speed",
"en","buttons/stack","Stack",
"en","buttons/trails","Trails",
"en","buttons/unexpand","Restore",
"en","buttons/zoom","Zoom",
"en","check/adaptMinMaxZoom","Follow bubbles with zoom",
"en","check/noZoomOnScrolling","Disable mousewheel zoom",
"en","check/presentation","Increase text size for presentation",
"en","check/removeLabelBox","Remove label boxes",
"en","description/20120905_extreme_poverty_percent_people_below_125_a_day","WDI 20120905 The percentage of people living on less than $1.25 (2005 purchasing power parity dollars).",
"en","description/adults_with_hiv_percent_age_15_49","The estimated percentage of adults aged 15 to 49 years that are infected by HIV, including those without symptoms, those sick from AIDS and those healthy due to treatment of the HIV infection"en",",
"en","description/age","",
"en","description/age_at_1st_marriage_women","The mean age, in years, of first marriage for women. Women who never married are excluded. Cohabitation is excluded. The data are based on multple sources and definitions might vary.",
"en","description/aged_15_24_employment_rate_percent","Percentage of total population, age group 15-24, that has been employed during the given year.",
"en","description/aged_15_24_unemployment_rate_percent","Percentage of total population, age group 15-24, that has been registered as unemployed during the given year.",
"en","description/aged_15_64_labour_force_participation_rate_percent","For age group 15-64, percentage of all labour to total population.",
"en","description/aged_15plus_employment_rate_percent","Percentage of total population, age group 15+, that has been employed during the given year.",
"en","description/aged_15plus_labour_force_participation_rate_percent","For age group 15+, percentage of all labour to total population.",
"en","description/aged_15plus_unemployment_rate_percent","Percentage of total population, age group above 15, that has been registered as unemployed during the given year.",
"en","description/aged_25_54_labour_force_participation_rate_percent","For age group 25-54, percentage of all labour to total population.",
"en","description/aged_25_54_unemployment_rate_percent","Percentage of total population, age group 25-54, that has been registered as unemployed during the given year.",
"en","description/aged_55plus_unemployment_rate_percent","Percentage of total population, age group above 55, that has been registered as unemployed during the given year.",
"en","description/aged_65plus_labour_force_participation_rate_percent","For age group 65+, percentage of all labour to total population.",
"en","description/agricultural_land_percent_of_land_area","Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Includes land under temporary crops, temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. It excludes land under trees grown for wood or timber.",
"en","description/agricultural_water_withdrawal_percent_of_total","Percentage of the total water withdrawal used in agriculture, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater, use of agricultural drainage water, desalinated water and treated wastewater. It also includes water withdrawn for irrigation purposes and for livestock watering, although depending on the country this last category sometimes is included in municipal water withdrawal. As far as the water withdrawn for irrigation is concerned, the value far exceeds the consumptive use of irrigation because of water lost in its distribution from its source to the crops."en",",
"en","description/agriculture_percent_of_gdp","Agriculture includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources.",
"en","description/agriculture_workers_percent_of_labour_force","Percentage of all labour force that works in agriculture sector.",
"en","description/aid_given_2007_us","Total amount of allocable aid for official development assistance (ODA) given by the donor countries, expressed in constant 2007 US$.",
"en","description/aid_given_per_person_2007_us","Total amount of official development assistance (ODA) aid that has been given during this year divided by the population of the country (2007 US$)",
"en","description/aid_given_percent_of_gni","Percentage of the gross national income (GNI) of each recepient country that has been given as official development assistance (ODA) aid during this year."en",",
"en","description/aid_received_per_person_current_us","The average amount of aid each person in the recepient country gets during this year from all donor countries in all sectors, expressed in current US$.",
"en","description/aid_received_percent_of_gni","Percentage of the gross national income (GNI) of each recepient country that comes from official development assistance (ODA) aid during this year."en",",
"en","description/aid_received_total_us_inflation_adjusted","The sum of aid each recepient country gets during this year from all donor countries in all sectors, expressed in fixed 2007 US$.",
"en","description/alcohol_consumption_per_adult_15plus_litres","Recorded plus estimated alcohol consumption, average adult (15+) per capita consumption in litres",
"en","description/all_causes_deaths_in_children_1_59_months_per_1000_births","All causes deaths in children 1-59 months (per 1,000 births)",
"en","description/all_causes_deaths_in_children_1_59_months_total_deaths","All causes deaths in children 1-59 months (total deaths)",
"en","description/all_causes_deaths_in_newborn_per_1000_births","All causes deaths in newborn (per 1,000 births)",
"en","description/all_causes_deaths_in_newborn_total_deaths","All causes deaths in newborn (total deaths)",
"en","description/all_forms_of_tb_deaths_per_100000_estimated","Estimated number of deaths caused by TB (all forms) among 100,000 residents during the given year.",
"en","description/all_forms_of_tb_detection_rate_percent","The proportion of estimated new cases of TB detected (diagnosed and then notified to WHO) by health facilities in the country during the given year.",
"en","description/all_forms_of_tb_detection_rate_percent_dots_only","The proportion of estimated new cases of TB detected (diagnosed and then notified to WHO) during the given year by DOTS programme, which is national TB programmes in finding and diagnosing people with TB.",
"en","description/all_forms_of_tb_existing_cases_per_100000_estimated","Estimated number of existing TB cases (all forms) among 100,000 residents during the given year.",
"en","description/all_forms_of_tb_new_cases_per_100000_estimated","Estimated number of new TB cases (all forms) among 100,000 residents during the given year.",
"en","description/all_forms_of_tb_new_cases_per_100000_reported","Reported number of new and relapsed TB cases (all forms) among 100,000 residents during the given year.",
"en","description/all_forms_of_tb_number_of_deaths_estimated","Estimated number of deaths caused by TB (all forms) during the given year.",
"en","description/all_forms_of_tb_number_of_existing_cases_estimated","Estimated number of existing TB cases (all forms) during the given year.",
"en","description/all_forms_of_tb_number_of_new_cases_estimated","Estimated number of new TB cases (all forms) during the given year.",
"en","description/all_forms_of_tb_number_of_new_cases_reported","Reported number of new and relapsed TB cases (all forms) during the given year.",
"en","description/alt_5","",
"en","description/alternative_1","",
"en","description/alternative_2","",
"en","description/alternative_3","",
"en","description/alternative_4_cdiac","",
"en","description/alternative_gdp_per_capita_ppp_pwt_7_1","GDP per capita PPP, in 2005 i$ from PWT 7.1",
"en","description/alternative_gdp_per_capita_ppp_pwt_8_0","GDP per capita PPP, in 2005 i$ from PWT 8.0 (based on rgdpe)",
"en","description/alternative_gdp_per_capita_ppp_wb","GDP per capita PPP, in 2005 i$ from World Bank.",
"en","description/alternative_gdppercapita_ppp_inflation_adjusted_from_pwt","Expressed in international $ (PPP) and adjusted for inflation (in 2000 prices). The indicator measures the same thing as \"income per person\", but the source is different: Penn World Tables 6.2.",
"en","description/alternative_poverty_percent_below_nationally_defined_poverty","National poverty rate is the percentage of the population living below the national poverty line. National estimates are based on population-weighted subgroup estimates from household surveys. Poverty lines vary between countries and so rates are not comparable."en",",
"en","description/annual_hiv_deaths_number_all_ages","The total number of people that were estimated as died from HIV/AIDS during the given year.",
"en","description/arb1","",
"en","description/arb2","",
"en","description/arb3","",
"en","description/arb4","",
"en","description/arb5","",
"en","description/arb6","",
"en","description/armed_forces_personnel_percent_of_labor_force","Armed forces personnel are active duty military personnel, including paramilitary forces if the training, organization, equipment, and control suggest they may be used to support or replace regular military forces. Labor force comprises all people who meet the International Labour Organization's definition of the economically active population.",
"en","description/armed_forces_personnel_total","Armed forces personnel are active duty military personnel, including paramilitary forces if the training, organization, equipment, and control suggest they may be used to support or replace regular military forces.",
"en","description/arms_exports_us_inflation_adjusted","Data for some countries are based on partial or uncertain data or rough estimates. Arms transfers cover the supply of military weapons through sales, aid, gifts, and those made through manufacturing licenses. Data cover major conventional weapons such as aircraft, armored vehicles, artillery, radar systems, missiles, and ships designed for military use. Excluded are transfers of other military equipment such as small arms and light weapons, trucks, small artillery, ammunition, support equipment, technology transfers, and other services. In 1990 prices.",
